icao_code,telephony,company_name,country,is_virtual,notes
DCF,DESERT STAR,DC AVIATION AL-FUTTAIM LLC,UNITED ARAB EMIRATES,f,
DCL,DON CARLOS,TRANSPORTES AEREOS DON CARLOS LTDA.,CHILE,f,
DCM,DOT COM,"FLTPLAN, LLC (SOUTHBURY, CT)",UNITED STATES,f,
DCN,DIPLOMATIC CLEARANCE,"FEDERAL ARMED FORCES, FEDERAL REPUBLIC OF GERMANY",GERMANY,f,
DCO,AEROJAZ,DISTRIBUIDORA Y COMERCIALIZADORA JAZ SA DE CV,MEXICO,f,
DCP,NILECAT,DELTA CONNECTION LIMITED,KENYA,f,
DCS,TWIN STAR,"DC AVIATION GMBH, STUTTGART",GERMANY,f,
DCT,AIRTASK,DIRECT FLIGHT LTD,UNITED KINGDOM,f,
DCU,OCEAN STAR,DC AVIATION SAN MARINO S.R.L.,SAN MARINO,f,
DCV,DISCOVERYJET,DISCOVERY AIRWAYS LIMITED,NIGERIA,f,
DCW,MALTA STAR,DC AVIATION LTD.,MALTA,f,
DCY,DUCOY,"INVERSIONES Y PROMOCIONES DUCOY, S.L.",SPAIN,f,
DDA,DUSTY,"D & D AVIATION (SALT LAKE CITY, UT)",UNITED STATES,f,
DDY,DANDY,"SERVICIOS AEREOS DANDY, S.A. DE C.V.",MEXICO,f,
DEC,DECCAN CARGO,DECCAN CARGO & EXPRESS LOGISTICS PVT LTD,INDIA,f,
DEE,TACAIR,"TRANSPORTATION AMERICA CORPORATION D/B/A DIXIE AIRWAYS (NASHVILLE, TN)",UNITED STATES,f,
DEF,TIRPA,AVIATION DEFENSE SERVICE,FRANCE,f,
DEK,DEK AERO,AVIASTAR,BELARUS,f,
DEM,DESTILA MIELES,"DESTILADORA DE ALCOHOLES Y MIELES, S.A. DE C.V.",MEXICO,f,
DER,DEER JET,DEER JET CO. LTD,CHINA,f,
DES,DESTINIA,"SERVICIOS AEREOS ESPECIALIZADOS DESTINIA, S.A. DE C.V.",MEXICO,f,
DEV,RED DEVILS,RED DEVILS PARACHUTE DISPLAY TEAM,UNITED KINGDOM,f,
DEX,ASIAN AIR,"ASIAN AIR CO., LTD",THAILAND,f,
DFA,ABLE,AEROBILITY,UNITED KINGDOM,f,
DFC,DARK BLUE,AEROPARTNER A.S.,CZECHIA,f,
DFL,MEDIFLIGHT,BABCOCK SCANDINAVIAN AIRAMBULANCE AB,SWEDEN,f,
DFS,DWYAIR,"DWYER AIRCRAFT SALES, INC. (MASON CITY, IA)",UNITED STATES,f,
DGA,YELLOW RIVER,"YELLOW RIVER DELTA GENERAL AVIATION CO., LTD",CHINA,f,
DGJ,DEEGA JET,DIGAJET AVIATION GMBH,GERMANY,f,
DGO,DGO JET,"DGO JET, S.A. DE C.V.",MEXICO,f,
DGT,DIGITAL,"DIGITAL EQUIPMENT CORPORATION (MAYNARD, MA)",UNITED STATES,f,
DGV,SMART AIRLINES,SMART AIRLINES LLC,ARMENIA,f,
DGX,DASNA,DASNAIR SA,SWITZERLAND,f,
DHA,YELLOW TAIL,DHL AIR AUSTRIA,AUSTRIA,f,
DHC,DEHAVILLAND,DE HAVILLAND AIRCRAFT OF CANADA LTD,CANADA,f,
DHE,HELIDAP,DAP HELICOPTEROS LTDA.,CHILE,f,
DHK,WORLD EXPRESS,DHL AIR (UK) LIMITED,UNITED KINGDOM,f,
DHL,DAHL,"ASTAR AIR CARGO (MIAMI, FL)",UNITED STATES,f,
DHR,DARK HORSE,"CREAMER PILOT SERVICES, LLC",UNITED STATES,f,
DHV,WORLDSTAR,DHL AVIATION (PTY) LTD,SOUTH AFRICA,f,
DHX,DILMUN,DHL AVIATION EEMEA B.S.C.(C),BAHRAIN,f,
DIA,BLUE SKY,"DIRECT AIR, INC.",UNITED STATES,f,
DIC,AEROMEDICA,"AEROMEDICA, S.A. DE C.V.",MEXICO,f,
DIG,DAC AIR,DAC INTERNATIONAL AIRLINES LTD,GHANA,f,
DIR,DIREKT WINGS,AERRO DIREKT,ROMANIA,f,
DIS,AERODIS,AERODIS AVIACION S.L.,SPAIN,f,
DJA,ANTINEA,ANTINEA AIRLINES,ALGERIA,f,
DJH,JET FLAG,"DEER JET AVIATION CO., LTD.",CHINA,f,
DJR,DESERT JET,"DESERT JET, LLC (THERMAL, CA)",UNITED STATES,f,
DJT,DREAMJET,DREAMJET,FRANCE,f,
DKA,DOKIA AIR,DOKIA AIR S.R.L,ROMANIA,f,
DKE,DUKE,JUBILEE AIRWAYS LTD,UNITED KINGDOM,f,
DKH,AIR JUNEYAO,"JUNEYAO AIRLINES CO., LTD",CHINA,f,
