Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
LAX,LAX SLI8 SLI V8 PDZ RAL,RAL,,,,TEC,LAX WEST AND EAST (M CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,M50,,LAXP36,3,ZLA,ZLA
LAX,LAX SLI8 SLI V8 PDZ RAL,RAL,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,PQ50,,LAXP57,4,ZLA,ZLA
LAX,LAX LAXX1 SLI V8 PDZ REI,REI,,,,TEC,LAX WEST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP6,1,ZLA,
LAX,LAX LAXX1 SLI V8 PDZ REI,REI,,,,TEC,LAX EAST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP21,2,ZLA,
LAX,LAX SLI8 SLI V8 PDZ REI,REI,,,,TEC,LAX WEST AND EAST (M CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,M50,,LAXP36,3,ZLA,
LAX,LAX SLI8 SLI V8 PDZ REI,REI,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,PQ50,,LAXP57,4,ZLA,
LAX,LAX LAXX1 SLI V8 PDZ RIR,RIR,,,,TEC,LAX WEST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP6,1,ZLA,ZLA
LAX,LAX LAXX1 SLI V8 PDZ RIR,RIR,,,,TEC,LAX EAST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP21,2,ZLA,ZLA
LAX,LAX SLI8 SLI V8 PDZ RIR,RIR,,,,TEC,LAX WEST AND EAST (M CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,M50,,LAXP36,3,ZLA,ZLA
LAX,LAX SLI8 SLI V8 PDZ RIR,RIR,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,PQ50,,LAXP57,4,ZLA,ZLA
LAX,LAX LAXX1 SLI V8 PDZ RIV,RIV,,,,TEC,LAX WEST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP6,1,ZLA,ZLA
LAX,LAX LAXX1 SLI V8 PDZ RIV,RIV,,,,TEC,LAX EAST (J CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,J90,,LAXP21,2,ZLA,ZLA
LAX,LAX SLI8 SLI V8 PDZ RIV,RIV,,,,TEC,LAX WEST AND EAST (M CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,M50,,LAXP36,3,ZLA,ZLA
LAX,LAX SLI8 SLI V8 PDZ RIV,RIV,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO CNO REI L65 AJO RAL RIR RIV SBD ONT,PQ50,,LAXP57,4,ZLA,ZLA
LAX,LAX LAXX1 SLI SLI171 ALBAS V25 PACIF V208 JLI RNM,RNM,,,,TEC,LAX WEST (J CLASS) TO RNM,J110,,LAXP12,12,ZLA,ZLA
LAX,LAX LAXX1 SLI SLI148 V25 PACIF V208 JLI RNM,RNM,,,,TEC,LAX EAST (J CLASS) TO RNM,J110,,LAXP27,13,ZLA,ZLA
LAX,LAX SLI8 SLI SLI171 ALBAS V25 PACIF V208 JLI RNM,RNM,,,,TEC,LAX WEST AND EAST (M CLASS) TO RNM (LAXW),M90,,LAXP46,14,ZLA,ZLA
LAX,LAX SLI8 SLI SLI148 V25 PACIF V208 JLI RNM,RNM,,,,TEC,LAX WEST AND EAST (M CLASS) TO RNM (LAXE),M90,,LAXP47,15,ZLA,ZLA
LAX,LAX SLI8 SLI V64 V363 DANAH V23 OCN JLI RNM,RNM,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO RNM,PQ70,,LAXP65,16,ZLA,ZLA
LAX,LAX SLI8 SLI V23 OCN V208 JLI RNM,RNM,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO RNM (SNAN),PQ70,,LAXP66,17,ZLA,ZLA
LAX,LAX LAXX1 SLI SLI171 ALBAS V25 REDIN V165 SARGS SAN,SAN,,,,TEC,LAX WEST (J CLASS) TO SAN (SANE),J110,,LAXP13,22,ZLA,ZLA
LAX,LAX LAXX1 SLI SLI148 V25 REDIN V165 SARGS SAN,SAN,,,,TEC,LAX EAST (J CLASS) TO SAN (SANE),J110,,LAXP28,23,ZLA,ZLA
LAX,LAX SLI8 SLI SLI171 ALBAS V25 REDIN V165 SARGS SAN,SAN,,,,TEC,LAX WEST AND EAST (M CLASS) TO SAN (SANE) (LAXW),M90,,LAXP44,24,ZLA,ZLA
LAX,LAX SLI8 SLI SLI148 V25 REDIN V165 SARGS SAN,SAN,,,,TEC,LAX WEST AND EAST (M CLASS) TO SAN (SANE) (LAXE),M90,,LAXP45,25,ZLA,ZLA
LAX,LAX SLI8 SLI V64 V363 DANAH V165 SARGS SAN,SAN,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO SAN (SANE),PQ50,,LAXP67,26,ZLA,ZLA
LAX,LAX LAXX1 MZB SAN,SAN,,,,TEC,LAX WEST (J CLASS) TO MYF NRS NZY SAN SDM SEE,J130,,LAXP11,27,ZLA,ZLA
LAX,LAX LAXX1 SLI BAYER PACIF V208 HUBRD CARDI MZB SAN,SAN,,,,TEC,LAX EAST (J CLASS) TO MYF NRS NZY SAN SDM SEE,J130,,LAXP26,28,ZLA,ZLA
LAX,LAX SLI8 SLI SLI171 ALBAS V25 PACIF V208 LAX118 CARDI MZB320 MZB SAN,SAN,,,,TEC,LAX WEST AND EAST (M CLASS) TO MYF NRS NZY SAN SDM SEE (LAXW),M90,,LAXP42,29,ZLA,ZLA
LAX,LAX SLI8 SLI SLI148 V25 PACIF V208 MZB320 MZB SAN,SAN,,,,TEC,LAX WEST AND EAST (M CLASS) TO MYF NRS NZY SAN SDM SEE (LAXE),M90,,LAXP43,30,ZLA,ZLA
LAX,LAX SLI8 SLI V64 V363 DANAH V23 MZB SAN,SAN,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO MYF NRS NZY SAN SDM SEE,PQ50,,LAXP63,31,ZLA,ZLA
LAX,LAX SLI8 SLI V23 MZB SAN,SAN,,,,TEC,LAX WEST AND EAST (P AND Q CLASS) TO MYF NRS NZY SAN SDM SEE (SNAN),PQ50,,LAXP64,32,ZLA,ZLA
LAX,LAX VTU8 VTU VTU282 KWANG SBA,SBA,,,,TEC,LAX WEST (J CLASS) TO SBA,J100,,LAXP15,9,ZLA,ZLA
